Step	Temp	TotEng	Xlo	Xhi	Ylo	Yhi	Zlo	Zhi	Volume
5675000	1163.9889	-35119.297	-2.2187694	215.81877	-1.2810069	124.60301	-0.5	0.5	27447.441
5700000	1194.6979	-35109.958	-2.2326547	215.83265	-1.2890236	124.61102	-0.5	0.5	27454.433
5725000	1180.1486	-35090.157	-2.2281603	215.82816	-1.2864287	124.60843	-0.5	0.5	27452.169
5750000	1159.9624	-35096.65	-2.2407818	215.84078	-1.2937158	124.61572	-0.5	0.5	27458.526
5775000	1182.754	-35084.271	-2.2401955	215.8402	-1.2933773	124.61538	-0.5	0.5	27458.23
5800000	1190.5547	-35099.83	-2.2582397	215.85824	-1.3037951	124.6258	-0.5	0.5	27467.319
5825000	1198.2119	-35087.33	-2.2406501	215.84065	-1.2936397	124.61564	-0.5	0.5	27458.459
5850000	1214.1193	-35067.609	-2.2747686	215.87477	-1.3133381	124.63534	-0.5	0.5	27475.645
5875000	1193.2321	-35063.344	-2.2496805	215.84968	-1.2988535	124.62085	-0.5	0.5	27463.008
5900000	1197.5604	-35073.092	-2.2810744	215.88107	-1.3169787	124.63898	-0.5	0.5	27478.822
5925000	1233.6025	-35051.681	-2.2611551	215.86116	-1.3054783	124.62748	-0.5	0.5	27468.787
5950000	1233.3312	-35053.148	-2.2896312	215.88963	-1.321919	124.64392	-0.5	0.5	27483.134
5975000	1213.9436	-35070.158	-2.2729325	215.87293	-1.312278	124.63428	-0.5	0.5	27474.72
6000000	1235.9624	-35032.177	-2.3008443	215.90084	-1.3283929	124.65039	-0.5	0.5	27488.784
6025000	1254.4496	-35031.508	-2.2820629	215.88206	-1.3175495	124.63955	-0.5	0.5	27479.32
6050000	1237.2845	-35044.72	-2.3090804	215.90908	-1.333148	124.65515	-0.5	0.5	27492.934
6075000	1259.1148	-35015.665	-2.2966274	215.89663	-1.3259583	124.64796	-0.5	0.5	27486.659
6100000	1241.6028	-35009.033	-2.3069338	215.90693	-1.3319087	124.65391	-0.5	0.5	27491.852
6125000	1215.5632	-35050.944	-2.3183384	215.91834	-1.3384931	124.66049	-0.5	0.5	27497.6
6150000	1253.1628	-35010.91	-2.3025784	215.90258	-1.3293941	124.65139	-0.5	0.5	27489.658
6175000	1258.279	-35003.839	-2.3433685	215.94337	-1.3529442	124.67494	-0.5	0.5	27510.217
